Estado,Sumatoria,Mediana,Varianza
Healthy,1.593745550440618e-07,4.686493360387356e-10,7.795343289139285e-06
Healthy,1.8172794682591635e-07,2.8196162228791215e-10,8.841125411633204e-06
Healthy,1.673059987697523e-07,2.985569177600922e-10,8.668791793168734e-06
Healthy,1.265947846960079e-07,2.5568679097739536e-10,7.548704912470091e-06
Healthy,1.288562130062264e-07,3.071286245668278e-10,6.604858671097523e-06
Healthy,1.109035438563927e-08,4.215620489066248e-11,1.4746942813792693e-06
Healthy,4.631593335620711e-09,3.820020803840741e-11,1.3543892637054158e-06
Healthy,6.407315320588534e-09,5.610154984751258e-11,1.270349440207425e-06
Healthy,1.0513393958988802e-08,7.001687559309997e-11,2.262606177877882e-06
Healthy,7.306308828658624e-09,3.6711071978284674e-11,1.203472764081627e-06
Healthy,7.60933244904141e-09,4.6683503591488125e-11,1.4351003852727144e-06
Healthy,5.761534819898415e-09,4.9805077904236133e-11,1.299240876659644e-06
Healthy,1.223941731060423e-08,7.724652303431513e-11,1.9579729157390056e-06
Healthy,1.0561207373647453e-08,3.4871463163744825e-11,1.5127002359670597e-06
Healthy,2.3641445931530856e-08,9.403930704700684e-11,2.5013440902733347e-06
Healthy,5.461406561130156e-08,6.521140567918082e-10,1.4786876869919012e-05
Healthy,5.3758249425364766e-08,7.72879864592502e-10,1.1524202865823492e-05
Healthy,1.0836852480008532e-07,5.920962851332712e-09,1.2686921142293303e-05
Healthy,8.703314473875339e-08,5.14533689830496e-09,1.3858198136628329e-05
Healthy,1.458811813108963e-07,4.609323450846855e-09,1.1980142338167603e-05
Healthy,9.623009204135284e-08,5.6686957527692865e-09,1.245052532357483e-05
Healthy,1.0350862788814306e-07,3.939371693414585e-09,1.3150448927549394e-05
Healthy,1.3988402367422683e-07,3.7270629195042e-09,1.2208125425730849e-05
Healthy,2.3043848108781089e-07,9.422509431755121e-09,2.359897057552384e-05
Healthy,4.501091113407863e-08,7.146783375701256e-10,3.991449196925753e-06
Healthy,5.017957137871646e-08,4.3011921093046906e-10,3.847096834364253e-06
Healthy,3.2532775009008125e-08,5.250221798629577e-10,3.5164465142172075e-06
Healthy,2.8396974006915416e-08,7.162328815983925e-10,4.684243326207108e-06
Healthy,3.6228931762587026e-08,6.102362715014764e-10,3.426472868228216e-06
Healthy,6.300879929640764e-08,4.810385610972269e-10,6.0018435342158905e-06
Healthy,9.772720446839578e-08,1.9110783758052486e-09,9.595864167366455e-06
Healthy,1.3732379523913317e-07,2.139716117613993e-09,1.3820596976238504e-05
Healthy,8.511925661967158e-08,1.8221816266854224e-09,9.003496842157119e-06
Healthy,8.606067921926262e-08,1.2495481061891665e-09,9.038581464168492e-06
Healthy,1.5676827837999814e-07,9.165756096179699e-09,2.72947678139322e-05
Healthy,2.0666485206013793e-07,1.0482229830390731e-08,2.4272732894923956e-05
Healthy,2.4047194783931934e-07,6.722438240469812e-09,2.068084329776513e-05
Healthy,1.3541525731077134e-07,5.699877364720728e-09,1.5135927765948547e-05
Healthy,1.3002012063519245e-07,3.863644421870428e-09,1.324385395127802e-05
Healthy,3.53655029147972e-08,1.2724601444369192e-09,5.155735521440451e-06
Healthy,1.3227962629322826e-07,4.344206510714795e-09,1.4093049372804185e-05
Healthy,5.254024634495816e-08,3.1937617952624075e-09,7.849123851989563e-06
Healthy,1.1176042665555652e-07,4.2939255455390295e-09,1.2096983187808546e-05
Healthy,9.766910286284012e-08,3.352445013012939e-09,1.131163933313838e-05
Healthy,1.5048599693167575e-08,1.7457093837346999e-09,3.0414051290938056e-06
Healthy,2.7215813512824915e-08,1.25684102318125e-09,3.0674558920118508e-06
Healthy,5.868715154104391e-08,2.3077111948205495e-07,0.0004445257854157323
Healthy,1.1864894903411495e-07,2.5104050595236015e-07,0.0004539998162679772
Healthy,3.510081806202082e-08,1.434706937950801e-07,0.0002755684308094275
Healthy,4.248011539289164e-08,1.3400858191169873e-07,0.00022551163874437403
Healthy,9.311333188461591e-08,1.5333050634057103e-07,0.00028519249268239334
