Estado,Sumatoria,Mediana,Varianza
Healthy,0.0005225934674074458,2.706293343011556e-05,0.001967782762194052
Healthy,0.0005149829132904933,2.0354558597540946e-05,0.0018019087181310293
Healthy,0.0004717116909792592,1.7428256019751585e-05,0.0017215304378536559
Healthy,0.0005008125394506166,1.5126363235574948e-05,0.001801974408695566
Healthy,0.00048481173329172365,1.7591610564045945e-05,0.0017378042288738863
Healthy,0.000299321393470105,6.736780673882927e-06,0.0010443382057213687
Healthy,0.00028532151025080054,6.89069249475487e-06,0.0009987189568363716
Healthy,0.0002948567136627518,7.997136049802217e-06,0.001010706657066249
Healthy,0.0003111097332201712,9.441829659853505e-06,0.0010912970864425118
Healthy,0.0002695297401804044,6.449652604092657e-06,0.0009270501265969418
Healthy,0.00028652312867376837,7.310589389681839e-06,0.000993891504760105
Healthy,0.0002784296515470659,8.08424058626791e-06,0.000982456647116635
Healthy,0.0003166291611541851,1.0194526531815226e-05,0.0011180190320668971
Healthy,0.00024212805758483768,7.792954617468674e-06,0.0008943835520466798
Healthy,0.0002893208796950738,9.590183119764022e-06,0.0010562475862942913
Healthy,0.0009605679424789659,2.767471044865945e-05,0.003409735537690486
Healthy,0.0009080903683376655,2.9217183512982193e-05,0.003206090746663155
Healthy,0.0008704050863928,7.811650486704548e-05,0.003392667823038318
Healthy,0.0008078820015101056,7.480597675785266e-05,0.0032541863494045175
Healthy,0.0007738087598819393,6.793516709627018e-05,0.003040901932974152
Healthy,0.0008321006678355065,8.023871749147316e-05,0.0032759355563986726
Healthy,0.0006630310597154497,6.123653322576712e-05,0.002734561042469736
Healthy,0.0008227966054425367,6.103372318031997e-05,0.0030855476199094702
Healthy,0.0007113568878705623,0.00010327148498051848,0.003451083199734906
Healthy,0.0004125325105118674,2.6759968033637505e-05,0.0014948605707888706
Healthy,0.0003881916328386963,2.1705037001784994e-05,0.0013892589917824426
Healthy,0.000407001642274829,2.3931755718965425e-05,0.0014667576779186604
Healthy,0.00041573669285825524,2.7849435995086392e-05,0.0015509947176715782
Healthy,0.0003455965354737497,2.580894280288928e-05,0.0012999036944205057
Healthy,0.000392481307313512,2.422407163505285e-05,0.0014960478868949647
Healthy,0.0008129425023945477,4.157288213276162e-05,0.0028531108167538055
Healthy,0.0008653807476022122,4.6972792104955334e-05,0.0030748042786124313
Healthy,0.0008677145124663126,4.372283812360871e-05,0.0030339056209546062
Healthy,0.0005559933686410033,3.543987883422983e-05,0.0020865442769375437
Healthy,0.0009796241685856638,0.00010217860087355481,0.0041193042467949385
Healthy,0.0008198848001817322,0.0001040735960678246,0.003531848732074443
Healthy,0.0008326573867964061,8.758955971173614e-05,0.0034903390521953542
Healthy,0.0006607365614019352,7.304358620634983e-05,0.0028484054629611868
Healthy,0.0006340990169935804,7.36255712087829e-05,0.00268961793198016
Healthy,0.0005238020281128104,4.241504588162968e-05,0.002040746077910549
Healthy,0.0007223479561084314,6.595464273342097e-05,0.0028448423278668684
Healthy,0.0005786388138451678,6.284037593966918e-05,0.002333438853422176
Healthy,0.0006922087666923913,6.403274460104219e-05,0.0027474140339433187
Healthy,0.0006761715554890347,5.895922193996157e-05,0.0026336537354384893
Healthy,0.00034957248092985544,4.474126118484023e-05,0.0015333032921518047
Healthy,0.0004059456420695385,3.572765455685801e-05,0.0015819682220034525
Healthy,0.0011758099867720067,0.0004768780966851447,0.02077989806927599
Healthy,0.001406048682594555,0.0004801846142363571,0.020923925474054816
Healthy,0.001015580509993096,0.0003681948442672553,0.01633240410543408
Healthy,0.0010003667729896095,0.0003588504252085698,0.014701985237558906
Healthy,0.0009893572537827552,0.00037719194705839983,0.016583191099788362
Healthy,0.0010397202356412368,0.0003928028484341798,0.016206584380464007
Healthy,0.0008340964473101289,0.00029114678920450415,0.012663003614506315
Healthy,0.000963987571819275,3.237901192637505e-05,0.00363548233096742
Healthy,0.0015928514436268782,2.671545251290234e-05,0.005310685721543655
Healthy,0.009810853365530506,0.000584932770082819,0.03844755135801629
Healthy,0.021876230928372924,0.001562939807047656,0.09575796856042687
Healthy,0.017267238571679607,0.0010174071602418546,0.07422792054901849
Healthy,0.02037910319434837,0.0015345791276697393,0.09038428775369699
Healthy,0.021284417255095334,0.0017283769271220085,0.09579590879515627
Healthy,0.01654297362041057,0.00121623487788833,0.06877185712200012
Healthy,0.015336578052019947,0.001134074184315423,0.06510568030563002
Healthy,0.0035911341686858484,0.000547024423644162,0.01796929571291819
Healthy,0.0036098137867860984,0.0006331875315079247,0.020063579633517546
Healthy,0.0034344126580852217,0.000535842618961568,0.017928304949517675
Healthy,0.0036594530739381477,0.0005928874634026727,0.019698020515237058
Healthy,0.004233897425606149,0.0006425146996476763,0.020266590981832637
Healthy,0.008320237329812307,0.0005338855247265609,0.03298984298922018
Healthy,0.007467874400257879,0.0004559838939810116,0.028981299250432167
Healthy,0.007789965201655526,0.0004765573266130288,0.030494332406130815
Healthy,0.00921767917881975,0.0005416464944528994,0.0357079612015486
Healthy,0.004894213635517957,0.0006359437968687599,0.02330716905014635
Healthy,0.005516987343268821,0.0007129795174186707,0.02620006352425696
Healthy,0.00466236851688709,0.0006232778533373599,0.021636823184122942
Healthy,0.00420523007779693,0.0005517112199655525,0.02020804013537186
Healthy,0.005047530776009652,0.0006295529539520413,0.0232844751868772
Healthy,0.0054041039211672305,0.0006644792652847837,0.025477429155668356
Healthy,0.004943484843981619,0.0006847526003333042,0.024150458201375808
Healthy,0.003467234539228992,0.00011750891429964266,0.012239325810521591
Healthy,0.0048454313657151854,0.00019445284920367555,0.01791992522332334
Healthy,0.003478784939300268,0.00012184778652610667,0.01323196963169127
Healthy,0.004598235691078958,0.00017963691846329118,0.016306324933169337
Healthy,0.017516345576769145,0.0011821299449887618,0.07543242998535245
Healthy,0.019178901165108495,0.0014509520057973699,0.08527431376388907
Healthy,0.01913253851210811,0.0015101823979471725,0.0834703618808245
Healthy,0.011673266707884301,0.0008368152100439429,0.04995514054786054
Healthy,0.01866777169471761,0.0013033182064613623,0.08354447089402925
Healthy,0.011285093793447177,0.0008428162443522933,0.049552412494471954
Healthy,0.009808853736488465,0.0008219552455565761,0.045257281796418136
Healthy,0.019643256079056752,0.001511504370976733,0.082332713803453
Healthy,0.016227130567531032,0.0012815071258767082,0.06829134985387168
Healthy,0.006129258496700176,0.0004774597514706906,0.02353550253544207
Healthy,0.0071057694769639706,0.000586168318377289,0.027834687825779546
Healthy,0.007285788057549977,0.0006271909731902785,0.028608476842397604
Healthy,0.006992871927172284,0.0005226871375881221,0.02727247650977263
Healthy,0.007031892459942681,0.0005804522960860039,0.027753277768728508
Healthy,0.0006483473881557964,5.06160438261988e-06,0.002156324438775668
Healthy,0.0006666033940671785,8.941193816834531e-06,0.0022100100190496448
Healthy,0.0006619237904568192,1.0716019906638096e-05,0.002225065879407708
Healthy,0.0006467635827618618,7.948395933860346e-06,0.0021760688689119534
Healthy,0.0006584928219343193,7.538024944899958e-06,0.0022091461464880434
Healthy,0.000586252830061902,6.453779783067214e-06,0.0019437873053428831
Healthy,0.0005686598576735518,6.450098987212898e-06,0.0019043556380086322
Healthy,0.00038523999695190406,2.5457371268423628e-05,0.0014257862523920331
Healthy,0.00035975033678058415,1.8699180386028775e-05,0.0013243650284246499
Healthy,0.00039195018343102234,1.85028734627093e-05,0.001421385431834948
Healthy,0.0003309563463377576,1.9806679526447823e-05,0.0012084350760822012
Healthy,0.00037710725181794487,2.2133483462758085e-05,0.00137271128604476
Healthy,0.0003691759946324036,2.2356115623114758e-05,0.0013883183469181545
Healthy,0.0003890802666415349,2.7072098943890937e-05,0.0014606410183835184
Healthy,0.0004211199569446499,1.9740921589719686e-05,0.0014758121639119192
Healthy,0.0003630019434524914,2.3466115860535272e-05,0.0013172885104578522
Healthy,0.0003790437980228651,2.6833671823833664e-05,0.0014228059070804636
Healthy,0.0004975564987496856,3.115979254854297e-05,0.0018178515710858768
